ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
11061,M,M,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
11090,S,M,90000,2,Partial College,Professional,Yes,1,2-5 Miles,North America,48,Yes
11116,M,M,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,43,No
11139,S,F,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67,No
11149,M,M,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,No
11259,M,F,100000,4,Partial College,Professional,Yes,4,2-5 Miles,North America,41,Yes
11270,M,M,130000,2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42,Yes
11275,M,F,80000,4,Graduate Degree,Management,Yes,2,0-1 Miles,North America,72,Yes
11303,S,F,90000,4,High School,Professional,No,3,1-2 Miles,North America,45,Yes
11383,M,F,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,No
11386,M,F,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45,No
11415,S,M,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No
11434,M,M,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,No
11538,S,F,60000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Yes
11540,S,M,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Yes
11555,M,F,40000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80,No
11576,M,M,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,Yes
11585,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No
11641,M,M,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36,No
11663,M,M,70000,4,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
11738,M,M,60000,4,Bachelors,Professional,Yes,0,2-5 Miles,North America,46,No
11745,M,F,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,47,Yes
11817,S,F,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Yes
11886,M,F,60000,3,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Yes
11897,S,M,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,37,Yes
11935,S,F,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
12033,S,F,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
12153,S,F,70000,3,Partial College,Professional,Yes,1,5-10 Miles,North America,49,Yes
12207,S,M,80000,4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Yes
12207,S,M,80000,4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Yes
12234,M,M,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No
12236,M,F,20000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65,No
12273,M,M,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
12274,S,M,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
12344,S,F,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No
12389,S,M,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,No
12452,M,M,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Yes
12472,M,M,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No
12496,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
12497,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
12503,S,F,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No
12507,M,M,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
12558,M,F,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
12568,M,F,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,No
12590,S,M,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No
12591,M,F,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
12610,M,F,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
12629,S,M,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,No
12663,M,F,90000,5,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,No
12664,M,F,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No
12666,S,M,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No
12678,S,F,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No
12697,S,F,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No
12716,S,M,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No
12718,S,F,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,31,No
12728,S,M,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No
12731,S,M,30000,0,High School,Manual,No,1,1-2 Miles,Europe,32,No
12744,S,F,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33,No
12768,M,M,30000,1,High School,Clerical,Yes,1,2-5 Miles,North America,52,Yes
12774,M,F,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,Yes
12821,M,M,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,No
12871,S,F,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
12882,M,M,50000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,33,Yes
12922,S,F,60000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,Yes
12993,M,M,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No
13066,S,M,30000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31,Yes
13089,M,F,120000,1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46,Yes
13136,M,F,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,69,No
13154,M,M,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
13176,S,M,130000,0,Graduate Degree,Management,No,2,0-1 Miles,North America,38,Yes
13233,M,M,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,57,Yes
13283,M,M,80000,3,Partial College,Professional,No,2,0-1 Miles,North America,49,Yes
13287,S,M,110000,4,Bachelors,Management,Yes,4,5-10 Miles,North America,42,Yes
13314,M,M,120000,1,High School,Professional,Yes,4,5-10 Miles,North America,46,Yes
13343,M,F,90000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,63,Yes
13351,S,F,70000,4,Bachelors,Management,Yes,2,1-2 Miles,North America,62,Yes
13353,S,F,60000,4,Graduate Degree,Management,Yes,2,10+ Miles,North America,61,Yes
13353,S,F,60000,4,Graduate Degree,Management,Yes,2,10+ Miles,North America,61,Yes
13382,M,M,70000,5,Partial College,Professional,Yes,2,1-2 Miles,North America,57,Yes
13415,S,M,100000,1,Graduate Degree,Management,Yes,3,2-5 Miles,North America,73,Yes
13453,M,F,130000,3,Bachelors,Management,Yes,3,0-1 Miles,North America,45,Yes
13507,M,F,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No
