S/No.,Gender,Profession,Fam. Size,Cooking System,Fuel Expenditure,Cooking Experience,Cost Opinion,Opinionated Solution
1,Female,Teaching,3,LPG System Combined With Others,"?10,000.00",Indifferent,Affordable,Stable Electricity
2,Female,Civil Service,7,LPG System Combined With Others,"?7,000.00",Indifferent,Expensive,Price Consideration
3,Female,Student,4,LPG System Alone,"?6,000.00",Indifferent,Affordable,Price Consideration
4,Female,Artisan,10,LPG System Alone,"?5,000.00",Easy,Expensive,Price Consideration
5,Female,Civil Service,7,LPG System Combined With Others,"?5,000.00",Easy,Affordable,Price Consideration
6,Female,Trading,5,LPG System Combined With Others,"?5,000.00",Easy,Affordable,A Replacement
7,Female,Trading,6,LPG System Combined With Others,"?5,000.00",Easy,Expensive,A Replacement
8,Female,Trading,10,LPG System Combined With Others,"?5,000.00",Indifferent,Expensive,Price Consideration
9,Female,Teaching,4,LPG System Combined With Others,"?4,500.00",Stressful,Expensive,Price Consideration
10,Female,Teaching,5,LPG System Alone,"?4,000.00",Easy,Expensive,Better Alternatives
11,Female,Trading,4,LPG System Alone,"?4,000.00",Easy,Expensive,Guage on Gas Cylinders
12,Female,Trading,7,LPG System Alone,"?4,000.00",Easy,Affordable,Stable Electricity
13,Female,Teaching,4,LPG System Alone,"?4,000.00",Easy,Affordable,Price Consideration
14,Female,Teaching,4,LPG System Alone,"?4,000.00",Easy,Expensive,Price Consideration
15,Female,Trading,4,LPG System Alone,"?4,000.00",Easy,Affordable,Better Alternatives
16,Female,Civil Service,10,LPG System Combined With Others,"?4,000.00",Easy,Expensive,Price Consideration
17,Female,Trading,5,LPG System Combined With Others,"?4,000.00",Stressful,Expensive,Price Consideration
18,Female,Trading,5,LPG System Combined With Others,"?4,000.00",Stressful,Expensive,Price Consideration
19,Female,Housewife,8,LPG System Combined With Others,"?4,000.00",Indifferent,Expensive,Better Alternatives
20,Female,Civil Service,6,LPG System Alone,"?3,900.00",Easy,Expensive,Price Consideration
21,Female,Teaching,5,LPG System Combined With Others,"?3,900.00",Easy,Expensive,Price Consideration
22,Female,Accountant,3,LPG System Alone,"?3,800.00",Easy,Affordable,Better Alternatives
23,Female,Civil Service,6,LPG System Alone,"?3,800.00",Indifferent,Expensive,Price Consideration
24,Female,Teaching,3,LPG System Combined With Others,"?3,800.00",Easy,Expensive,Price Consideration
25,Female,Trading,7,LPG System Combined With Others,"?3,500.00",Easy,Expensive,Price Consideration
26,Female,Teaching,4,LPG System Combined With Others,"?3,500.00",Stressful,Expensive,Price Consideration
27,Female,Student,3,LPG System Combined With Others,"?3,500.00",Indifferent,Expensive,Price Consideration
28,Female,Civil Service,5,LPG System Alone,"?3,000.00",Easy,Affordable,More Distribution Outlets
29,Female,Civil Service,5,LPG System Alone,"?3,000.00",Easy,Expensive,More Distribution Outlets
30,Female,Civil Service,4,LPG System Alone,"?3,000.00",Easy,Expensive,Stable Electricity
31,Female,Artisan,2,LPG System Combined With Others,"?3,000.00",Easy,Expensive,Stable Electricity
32,Female,Civil Service,5,LPG System Combined With Others,"?3,000.00",Easy,Expensive,Price Consideration
33,Female,Trading,3,LPG System Combined With Others,"?3,000.00",Easy,Expensive,Price Consideration
34,Female,Artisan,5,LPG System Combined With Others,"?2,500.00",Stressful,Expensive,Price Consideration
35,Female,Teaching,4,LPG System Combined With Others,"?2,500.00",Stressful,Expensive,Price Consideration
36,Female,Teaching,5,LPG System Alone,"?2,000.00",Easy,Expensive,Price Consideration
