Transport Name,Customer Name,Shipping Point,Shipment Number,Ship To Address,Truck Plate,Product Name,Logon Number,Driver Name,First Weighing date,Dispatch Date1,Arrival Date And Time,Night Driving,Ring,Region,Customer Type,Quantity,Safety Violation,Dispatch Date,Truck Plate,OTD (IN %)
JOZA GLOBAL LOGISTIC LTD,GASK-CHIDA AND SONS LTD,ENUGU DEPOT,33512005961,5 TRINITY LINE (NSUKKA),AGL479XZ,CEM II /A-L 42.5N - SUPASET-50KG BAG K2,67866015,0,2/19/2020 8:17,2/19/2020 8:17,2/19/2020 14:18,YES,Ring 1,East,Trade,20,NO VIOLATION,2/19/2020,AGL479XZ,25.07%
JOZA GLOBAL LOGISTIC LTD,JANNY & SONS VENTURES LIMITED,ENUGU DEPOT,33512005898,B33 NWAGU AGULU BUILDING MKT (AGULU),AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,67882621,0,2/17/2020 11:00,2/17/2020 11:00,2/17/2020 19:50,YES,Ring 1,East,Trade,20,NO VIOLATION,2/17/2020,AGL479XZ,36.81%
JOZA GLOBAL LOGISTIC LTD,GRACEMEKUS ENTERPRISE,ENUGU DEPOT,33512006031,NO 22 IWEKA ROAD,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,67932708,0,2/21/2020 8:30,2/21/2020 8:30,2/22/2020 12:02,NO,Ring 1,East,Trade,20,VIOLATED,2/21/2020,AGL479XZ,114.72%
JOZA GLOBAL LOGISTIC LTD,OBI LINKS ENTERPRISE,ENUGU DEPOT,33512006130,12 UNIVERSITY MARKET ROAD,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,67956506,0,2/24/2020 16:58,2/24/2020 16:58,2/24/2020 20:52,YES,Ring 1,East,Trade,20,NO VIOLATION,2/24/2020,AGL479XZ,16.25%
JOZA GLOBAL LOGISTIC LTD,GASK-CHIDA AND SONS LTD,ENUGU DEPOT,33512006171,5 TRINITY LINE (NSUKKA),AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,67953629,0,2/25/2020 16:30,2/25/2020 16:30,2/26/2020 7:58,YES,Ring 1,East,Trade,20,NO VIOLATION,2/25/2020,AGL479XZ,64.44%
JOZA GLOBAL LOGISTIC LTD,JANNY & SONS VENTURES LIMITED,ENUGU DEPOT,33512006442,400 ZIK AVENUE ROAD AWKA,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68029285,0,3/4/2020 14:38,3/4/2020 14:38,3/4/2020 15:18,YES,Ring 1,East,Trade,20,NO VIOLATION,3/4/2020,AGL479XZ,2.78%
JOZA GLOBAL LOGISTIC LTD,ANGEL ONYEBUCHI OGU BIZ VENTURES,ENUGU DEPOT,33512006329,"341/399 ZIK AVENUE,",AGL479XZ,CEM II /A-L 42.5N - SUPASET-50KG BAG K2,67994542,0,3/1/2020 12:11,3/1/2020 12:11,3/2/2020 7:03,YES,Ring 1,East,Trade,20,NO VIOLATION,3/1/2020,AGL479XZ,78.61%
JOZA GLOBAL LOGISTIC LTD,UBOTEX NIG. LTD.,UYO DEPOT,33613002273,"ETE JUNCTION, IKOT ABASI",AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68344506,0,5/12/2020 16:37,5/12/2020 16:37,5/13/2020 16:38,NO,Ring 1,East,Trade,20,VIOLATED,5/12/2020,AGL479XZ,100.07%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002287,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68354802,0,5/14/2020 8:15,5/14/2020 8:15,5/15/2020 8:34,NO,Ring 1,East,Trade,20,VIOLATED,5/14/2020,AGL479XZ,101.36%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002311,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68354815,0,5/16/2020 15:48,5/16/2020 15:48,5/16/2020 20:32,YES,Ring 1,East,Trade,20,NO VIOLATION,5/16/2020,AGL479XZ,19.72%
JOZA GLOBAL LOGISTIC LTD,ARIMAE CEMENT VENTURES,UYO DEPOT,33613002335,13 ENWANG STREET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68413645,0,5/21/2020 11:09,5/21/2020 11:09,5/22/2020 6:53,NO,Ring 1,East,Trade,20,NO VIOLATION,5/21/2020,AGL479XZ,82.22%
JOZA GLOBAL LOGISTIC LTD,UBOTEX NIG. LTD.,UYO DEPOT,33613002351,"ETE JUNCTION, IKOT ABASI",AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68344529,0,5/22/2020 15:16,5/22/2020 15:16,5/23/2020 7:41,NO,Ring 1,East,Trade,20,NO VIOLATION,5/22/2020,AGL479XZ,68.40%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002366,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68433423,0,5/25/2020 9:57,5/25/2020 9:57,5/25/2020 13:16,NO,Ring 1,East,Trade,20,NO VIOLATION,5/25/2020,AGL479XZ,13.83%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002375,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68432175,0,5/26/2020 11:10,5/26/2020 11:10,5/27/2020 6:41,NO,Ring 1,East,Trade,20,NO VIOLATION,5/26/2020,AGL479XZ,81.36%
JOZA GLOBAL LOGISTIC LTD,UBOTEX NIG. LTD.,UYO DEPOT,33613002386,"ETE JUNCTION, IKOT ABASI",AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68456417,0,5/27/2020 16:33,5/27/2020 16:33,5/29/2020 17:49,NO,Ring 1,East,Trade,20,VIOLATED,5/27/2020,AGL479XZ,205.28%
JOZA GLOBAL LOGISTIC LTD,TAMARK NIG. LTD,UYO DEPOT,33613002415,NAVAL CHECKPOINT,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68482717,0,6/1/2020 15:32,6/1/2020 15:32,6/2/2020 11:15,NO,Ring 1,East,Trade,20,VIOLATED,6/1/2020,AGL479XZ,82.15%
JOZA GLOBAL LOGISTIC LTD,ARIMAE CEMENT VENTURES,UYO DEPOT,33613002434,13 ENWANG STREET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68495197,0,6/3/2020 9:11,6/3/2020 9:11,6/3/2020 14:08,NO,Ring 1,East,Trade,20,VIOLATED,6/3/2020,AGL479XZ,20.63%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002454,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68496794,0,6/4/2020 16:09,6/4/2020 16:09,6/5/2020 6:53,NO,Ring 1,East,Trade,20,VIOLATED,6/4/2020,AGL479XZ,61.39%
JOZA GLOBAL LOGISTIC LTD,K.E.O MERCHANDISING COMPANY,UYO DEPOT,33613002466,56 RCC ROAD EKET,AGL479XZ,CEM II /B-L 32.5R - CLASSIC-50KG BAG K2,68496796,0,6/5/2020 15:28,6/5/2020 15:28,6/6/2020 6:51,NO,Ring 1,East,Trade,20,VIOLATED,6/5/2020,AGL479XZ,64.10%
